Date,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctChInL,PctChInM
1972/1/1,26899.89,0.36,114,75.8,2783,9624,12.5,0.219010074,0.10760732
1972/2/1,26962.89,0.36,118.4,80.8,2783,9624,12.8,0.219010074,0.10760732
1972/3/1,26941.89,0.36,118.5,78.9,2783,9624,11.8,0.219010074,0.10760732
1972/4/1,26983.89,0.36,114.6,77.7,2783,9624,11.5,0.219010074,0.10760732
1972/5/1,27067.88,0.36,114.1,78.9,2783,9624,11.7,0.219010074,0.10760732
1972/6/1,27235.88,0.36,116.3,81.5,2783,9624,11.7,0.219010074,0.10760732
1972/7/1,27508.87,0.36,120.2,85.1,2783,9624,11.7,0.219010074,0.10760732
1972/8/1,27613.86,0.36,118.7,85.5,2783,9624,12,0.219010074,0.10760732
1972/9/1,27592.86,0.36,115.9,86.1,2783,9624,12.2,0.219010074,0.10760732
1972/10/1,27571.86,0.36,115.8,87,2783,9624,13,0.219010074,0.10760732
1972/11/1,27592.86,0.36,115.4,86.7,2783,9624,13.6,0.219010074,0.10760732
1972/12/1,27613.86,0.36,117.8,88,2783,9624,13.7,0.219010074,0.10760732
1973/1/1,27550.86,0.39,125.5,93.6,2909,10471,12.4,0.274200613,0.205086891
1973/2/1,27550.86,0.39,134,96.6,2909,10471,12.5,0.274200613,0.205086891
1973/3/1,27571.86,0.39,139.3,102.5,2909,10471,12.7,0.274200613,0.205086891
1973/4/1,27571.86,0.39,140,102.2,2909,10471,13.2,0.274200613,0.205086891
1973/5/1,27634.86,0.39,140.1,101.9,2909,10471,13.2,0.274200613,0.205086891
1973/6/1,27697.86,0.39,139.6,103.6,2909,10471,13.6,0.274200613,0.205086891
1973/7/1,27676.86,0.39,140.6,107,2909,10471,13.2,0.274200613,0.205086891
1973/8/1,27928.85,0.39,148.7,130.9,2909,10471,13.9,0.274200613,0.205086891
1973/9/1,28033.84,0.39,149.5,125.7,2909,10471,13.1,0.274200613,0.205086891
1973/10/1,28243.84,0.39,140.4,116.5,2909,10471,14.4,0.274200613,0.205086891
1973/11/1,28369.83,0.39,139.4,114.8,2909,10471,14.4,0.274200613,0.205086891
1973/12/1,28558.82,0.39,138.9,115.2,2909,10471,14.8,0.274200613,0.205086891
1974/1/1,28789.81,0.53,147.8,116.2,3152,11147,14.3,0.380639509,0.282886408
1974/2/1,29020.8,0.53,155.1,116.7,3152,11147,14.2,0.380639509,0.282886408
1974/3/1,29335.79,0.53,147.2,111.4,3152,11147,13.4,0.380639509,0.282886408
1974/4/1,29440.79,0.53,141.2,104.3,3152,11147,13.1,0.380639509,0.282886408
1974/5/1,29587.78,0.53,139.9,99,3152,11147,12.8,0.380639509,0.282886408
1974/6/1,29755.77,0.53,136.9,93.3,3152,11147,12.8,0.380639509,0.282886408
1974/7/1,29902.77,0.53,143,103.3,3152,11147,12.8,0.380639509,0.282886408
1974/8/1,30175.76,0.53,148.7,108.3,3152,11147,12.1,0.380639509,0.282886408
1974/9/1,30469.74,0.53,147,109.5,3152,11147,12.9,0.380639509,0.282886408
1974/10/1,30721.73,0.53,142,108.5,3152,11147,13.4,0.380639509,0.282886408
1974/11/1,30952.72,0.53,139.7,111,3152,11147,13.8,0.380639509,0.282886408
1974/12/1,31435.7,0.53,137.3,112.3,3152,11147,14,0.380639509,0.282886408
1975/1/1,32033.5,0.57,138.1,114.6,3335,11724,13.2,0.460797197,0.349292209
1975/2/1,32086.75,0.57,134.2,114.5,3335,11724,12.5,0.460797197,0.349292209
1975/3/1,32169.16,0.57,132.2,113.3,3335,11724,12.7,0.460797197,0.349292209
1975/4/1,32222.41,0.57,139.4,115.4,3335,11724,14.2,0.460797197,0.349292209
1975/5/1,32318.77,0.57,154,122.6,3335,11724,17.3,0.460797197,0.349292209
1975/6/1,32298.49,0.57,164.5,130.1,3335,11724,14.3,0.460797197,0.349292209
1975/7/1,32472.18,0.57,167.9,143.3,3335,11724,12.6,0.460797197,0.349292209
1975/8/1,32664.89,0.57,162.2,149.7,3335,11724,13,0.460797197,0.349292209
1975/9/1,32994.54,0.57,159.5,153.3,3335,11724,13,0.460797197,0.349292209
1975/10/1,33239.23,0.57,159.1,158.2,3335,11724,13.4,0.460797197,0.349292209
1975/11/1,33475.05,0.57,158,153.5,3335,11724,12.7,0.460797197,0.349292209
1975/12/1,33570.14,0.57,157.4,147.1,3335,11724,12,0.460797197,0.349292209
1976/1/1,33693.12,0.59,155.4,143.9,3685,12691,11.7,0.614104249,0.460582345
1976/2/1,33757.78,0.59,149.2,141.3,3685,12691,12.3,0.614104249,0.460582345
1976/3/1,34054.46,0.59,141.5,138.4,3685,12691,12.2,0.614104249,0.460582345
1976/4/1,34395.51,0.59,148.6,136.3,3685,12691,11.7,0.614104249,0.460582345
1976/5/1,34801.22,0.59,148.5,138.3,3685,12691,12.3,0.614104249,0.460582345
1976/6/1,34908.99,0.59,147.5,140.1,3685,12691,11.4,0.614104249,0.460582345
1976/7/1,35196.79,0.59,145,141.8,3685,12691,11.7,0.614104249,0.460582345
1976/8/1,35426.27,0.59,142.4,137.1,3685,12691,11.7,0.614104249,0.460582345
1976/9/1,35681.11,0.59,141,132.4,3685,12691,11.4,0.614104249,0.460582345
1976/10/1,35797.75,0.59,140.2,124.6,3685,12691,11.1,0.614104249,0.460582345
1976/11/1,36005.68,0.59,142.6,117.3,3685,12691,11.4,0.614104249,0.460582345
1976/12/1,36304.89,0.59,146,117,3685,12691,10.6,0.614104249,0.460582345
1977/1/1,36606.64,0.62,144.6,119.5,4006,13579,10.6,0.754708717,0.562780527
1977/2/1,37036.44,0.62,141.6,121,4006,13579,9.3,0.754708717,0.562780527
1977/3/1,37566.4,0.62,140.3,120.9,4006,13579,10.5,0.754708717,0.562780527
1977/4/1,38234.56,0.62,141.1,118.8,4006,13579,10.5,0.754708717,0.562780527
1977/5/1,38707.47,0.62,145.9,120.8,4006,13579,10.3,0.754708717,0.562780527
1977/6/1,39000.34,0.62,144.8,125.6,4006,13579,10.6,0.754708717,0.562780527
1977/7/1,39402.25,0.62,145.9,132,4006,13579,10.5,0.754708717,0.562780527
1977/8/1,39801.62,0.62,146.9,130.2,4006,13579,10.9,0.754708717,0.562780527
1977/9/1,40322.71,0.62,146.7,130.7,4006,13579,11.1,0.754708717,0.562780527
1977/10/1,40829.85,0.62,149.4,126.8,4006,13579,11,0.754708717,0.562780527
1977/11/1,41252.04,0.62,149.9,127.4,4006,13579,11.2,0.754708717,0.562780527
1977/12/1,41624.79,0.62,153.1,130.5,4006,13579,11.4,0.754708717,0.562780527
1978/1/1,42044.45,0.63,156.8,133.8,4310,14943,11.9,0.887866842,0.719760617
1978/2/1,42516.09,0.63,159,138,4310,14943,11.1,0.887866842,0.719760617
1978/3/1,43108.18,0.63,164.2,139.2,4310,14943,11,0.887866842,0.719760617
1978/4/1,43673.64,0.63,173,141.6,4310,14943,10.8,0.887866842,0.719760617
1978/5/1,44273.33,0.63,182.7,141.4,4310,14943,10.3,0.887866842,0.719760617
1978/6/1,44940.22,0.63,191.9,144.2,4310,14943,10,0.887866842,0.719760617
1978/7/1,45572.88,0.63,188.3,144.2,4310,14943,10.9,0.887866842,0.719760617
1978/8/1,46173.84,0.63,186.1,144.4,4310,14943,10.5,0.887866842,0.719760617
1978/9/1,46658.16,0.63,184.2,145.5,4310,14943,10.6,0.887866842,0.719760617
1978/10/1,47110.78,0.63,184.4,149.4,4310,14943,10.7,0.887866842,0.719760617
1978/11/1,47605.24,0.63,184.6,150.4,4310,14943,10.5,0.887866842,0.719760617
1978/12/1,48169.44,0.63,190.3,150.5,4310,14943,10.4,0.887866842,0.719760617
1979/1/1,48813.5,0.86,201.4,163.14,4602,16428,11.1,1.015768725,0.89066636
1979/2/1,49427.14,0.86,211.6,166.21,4602,16428,11.1,1.015768725,0.89066636
1979/3/1,50082.62,0.86,222.1,166,4602,16428,11.2,1.015768725,0.89066636
1979/4/1,50733.03,0.86,228.8,159.44,4602,16428,11,1.015768725,0.89066636
1979/5/1,51391.04,0.86,236.1,157.96,4602,16428,10.3,1.015768725,0.89066636
1979/6/1,52041.45,0.86,229.6,152.88,4602,16428,9.9,1.015768725,0.89066636
1979/7/1,52624.66,0.86,228.3,150.66,4602,16428,10.6,1.015768725,0.89066636
1979/8/1,53154.62,0.86,217.1,143.78,4602,16428,9.7,1.015768725,0.89066636
1979/9/1,53604.71,0.86,222.7,143.46,4602,16428,9.4,1.015768725,0.89066636
1979/10/1,54080.15,0.86,220.5,142.09,4602,16428,9.7,1.015768725,0.89066636
1979/11/1,54468.12,0.86,222.4,139.87,4602,16428,9.7,1.015768725,0.89066636
1979/12/1,54796.49,0.86,228.6,144.21,4602,16428,10.1,1.015768725,0.89066636
1980/1/1,55074.15,1.19,230.5,143.15,4790,17701,9.9,1.098116513,1.037173438
1980/2/1,55392.38,1.19,230.8,140.93,4790,17701,10.1,1.098116513,1.037173438
1980/3/1,55865.29,1.19,232.2,141.03,4790,17701,10.2,1.098116513,1.037173438
1980/4/1,56388.91,1.19,229.3,135.21,4790,17701,11.3,1.098116513,1.037173438
1980/5/1,56788.28,1.19,226.5,130.77,4790,17701,11.4,1.098116513,1.037173438
1980/6/1,57133.14,1.19,226.7,131.62,4790,17701,11.2,1.098116513,1.037173438
1980/7/1,57529.97,1.19,233.8,144.1,4790,17701,11.3,1.098116513,1.037173438
1980/8/1,57865.95,1.19,238.1,154.15,4790,17701,11.3,1.098116513,1.037173438
1980/9/1,58147.42,1.19,240.7,159.44,4790,17701,11.7,1.098116513,1.037173438
1980/10/1,58387.04,1.19,237.5,161.66,4790,17701,11.3,1.098116513,1.037173438
1980/11/1,58621.59,1.19,238.2,165.37,4790,17701,11.6,1.098116513,1.037173438
1980/12/1,58853.61,1.19,238.8,162.72,4790,17701,11.4,1.098116513,1.037173438
1981/1/1,59034.91,1.31,235.4,160.29,5053,18991,10.9,1.213315813,1.185637012
1981/2/1,59272,1.31,233.5,157.01,5053,18991,10.8,1.213315813,1.185637012
1981/3/1,59625.73,1.31,231.6,154.68,5053,18991,10.8,1.213315813,1.185637012
1981/4/1,60156.96,1.31,227,150.98,5053,18991,10.9,1.213315813,1.185637012
1981/5/1,60575.35,1.31,230.3,153.3,5053,18991,11,1.213315813,1.185637012
1981/6/1,60967.12,1.31,234.8,155.1,5053,18991,10.8,1.213315813,1.185637012
1981/7/1,61280.27,1.31,238.8,163.88,5053,18991,12.3,1.213315813,1.185637012
1981/8/1,61594.7,1.31,238.6,167.27,5053,18991,12,1.213315813,1.185637012
1981/9/1,61711.34,1.31,239.7,168.75,5053,18991,12.4,1.213315813,1.185637012
1981/10/1,61795.02,1.31,237.4,169.7,5053,18991,13,1.213315813,1.185637012
1981/11/1,61798.83,1.31,234.9,167.38,5053,18991,13.2,1.213315813,1.185637012
1981/12/1,61848.27,1.31,234,166.53,5053,18991,12.5,1.213315813,1.185637012
1982/1/1,61890.11,1.22,232.9,167.38,5436,20064,12.7,1.38107753,1.309126482
